ampl.tab 2 1
ALL_PLACES	PLACES	travel
ThBstnP	BstnPbL	0
ThBstnP	BackBay	0
ThBstnP	NwEngHM	0
ThBstnP	ArnldAr	0
ThBstnP	BstnOpH	0
ThBstnP	Mrrt_CH	0
ThBstnP	ThBstnP	0
ThBstnP	CmmnwAM	0
ThBstnP	ThPOoEG	0
ThBstnP	DwnstCH	0
ThBstnP	BstnAth	0
ThBstnP	EtDaMGH	0
ThBstnP	BstnWnr	0
ThBstnP	MtrplWM	0
ThBstnP	BstnBll	0
ThBstnP	PirsPrk	0
ThBstnP	AnaHACM	0
ThBstnP	ArlngSC	0
ThBstnP	LttBIaL	0
ThBstnP	NwEnCJH	0
ThBstnP	MFABstn	0
ThBstnP	FrtWrrn	0
ThBstnP	ThmpsnI	0
ThBstnP	EmrldNc	0
ThBstnP	HOME_NEU_END	0
CmmnwAM	HOME_NEU_START	0
CmmnwAM	FnwyPrk	0
CmmnwAM	MsmofFA	0
CmmnwAM	NrthEnd	0
CmmnwAM	JhFKPML	0
CmmnwAM	BstnPbG	0
CmmnwAM	SmlAdmB	0
CmmnwAM	BstnPbL	0
CmmnwAM	BackBay	0
CmmnwAM	NwEngHM	0
CmmnwAM	ArnldAr	0
CmmnwAM	BstnOpH	0
CmmnwAM	Mrrt_CH	0
CmmnwAM	ThBstnP	0
CmmnwAM	CmmnwAM	0
CmmnwAM	ThPOoEG	0
CmmnwAM	DwnstCH	0
CmmnwAM	BstnAth	0
CmmnwAM	EtDaMGH	0
CmmnwAM	BstnWnr	0
CmmnwAM	MtrplWM	0
CmmnwAM	BstnBll	0
CmmnwAM	PirsPrk	0
CmmnwAM	AnaHACM	0
CmmnwAM	ArlngSC	0
CmmnwAM	LttBIaL	0
CmmnwAM	NwEnCJH	0
CmmnwAM	MFABstn	0
CmmnwAM	FrtWrrn	0
CmmnwAM	ThmpsnI	0
CmmnwAM	EmrldNc	0
CmmnwAM	HOME_NEU_END	0
ThPOoEG	HOME_NEU_START	0
ThPOoEG	FnwyPrk	0
ThPOoEG	MsmofFA	0
ThPOoEG	NrthEnd	0
ThPOoEG	JhFKPML	0
ThPOoEG	BstnPbG	0
ThPOoEG	SmlAdmB	0
ThPOoEG	BstnPbL	0
ThPOoEG	BackBay	0
ThPOoEG	NwEngHM	0
ThPOoEG	ArnldAr	0
ThPOoEG	BstnOpH	0
ThPOoEG	Mrrt_CH	0
ThPOoEG	ThBstnP	0
ThPOoEG	CmmnwAM	0
ThPOoEG	ThPOoEG	0
ThPOoEG	DwnstCH	0
ThPOoEG	BstnAth	0
ThPOoEG	EtDaMGH	0
ThPOoEG	BstnWnr	0
ThPOoEG	MtrplWM	0
ThPOoEG	BstnBll	0
ThPOoEG	PirsPrk	0
ThPOoEG	AnaHACM	0
ThPOoEG	ArlngSC	0
ThPOoEG	LttBIaL	0
ThPOoEG	NwEnCJH	0
ThPOoEG	MFABstn	0
ThPOoEG	FrtWrrn	0
ThPOoEG	ThmpsnI	0
ThPOoEG	EmrldNc	0
ThPOoEG	HOME_NEU_END	0
DwnstCH	HOME_NEU_START	0
DwnstCH	FnwyPrk	0
DwnstCH	MsmofFA	0
DwnstCH	NrthEnd	0
DwnstCH	JhFKPML	0
DwnstCH	BstnPbG	0
DwnstCH	SmlAdmB	0
DwnstCH	BstnPbL	0
DwnstCH	BackBay	0
DwnstCH	NwEngHM	0
DwnstCH	ArnldAr	0
DwnstCH	BstnOpH	0
DwnstCH	Mrrt_CH	0
DwnstCH	ThBstnP	0
DwnstCH	CmmnwAM	0
DwnstCH	ThPOoEG	0
DwnstCH	DwnstCH	0
DwnstCH	BstnAth	0
DwnstCH	EtDaMGH	0
DwnstCH	BstnWnr	0
DwnstCH	MtrplWM	0
DwnstCH	BstnBll	0
DwnstCH	PirsPrk	0
DwnstCH	AnaHACM	0
DwnstCH	ArlngSC	0
DwnstCH	LttBIaL	0
DwnstCH	NwEnCJH	0
DwnstCH	MFABstn	0
DwnstCH	FrtWrrn	0
DwnstCH	ThmpsnI	0
DwnstCH	EmrldNc	0
DwnstCH	HOME_NEU_END	0
BstnAth	HOME_NEU_START	0
BstnAth	FnwyPrk	0
BstnAth	MsmofFA	0
BstnAth	NrthEnd	0
BstnAth	JhFKPML	0
BstnAth	BstnPbG	0
BstnAth	SmlAdmB	0
BstnAth	BstnPbL	0
BstnAth	BackBay	0
BstnAth	NwEngHM	0
BstnAth	ArnldAr	0
BstnAth	BstnOpH	0
BstnAth	Mrrt_CH	0
BstnAth	ThBstnP	0
BstnAth	CmmnwAM	0
BstnAth	ThPOoEG	0
BstnAth	DwnstCH	0
BstnAth	BstnAth	0
BstnAth	EtDaMGH	0
BstnAth	BstnWnr	0
BstnAth	MtrplWM	0
BstnAth	BstnBll	0
BstnAth	PirsPrk	0
BstnAth	AnaHACM	0
BstnAth	ArlngSC	0
BstnAth	LttBIaL	0
BstnAth	NwEnCJH	0
BstnAth	MFABstn	0
BstnAth	FrtWrrn	0
BstnAth	ThmpsnI	0
BstnAth	EmrldNc	0
BstnAth	HOME_NEU_END	0
EtDaMGH	HOME_NEU_START	0
EtDaMGH	FnwyPrk	0
EtDaMGH	MsmofFA	0
